Input	ID_Name_1	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Flash_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s
DataType	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric
PARIS III	1,1,2-tris(bromanyl)ethane	78-74-0	NAV	NAV	188.93	-29.3	67.6	1.20E+00	2.63	3.82
PARIS III	1,2-bis(bromanyl)propane	78-75-1	NAV	NAV	141.9	-55.49	35	7.80E+00	1.93	1.51
PARIS III	2-bromanylbutane	78-76-2	201-140-7	NAV	91.2	-112	21	5.70E+01	1.26	0.61
PARIS III	1-bromanyl-2-methyl-propane	78-77-3	201-141-2	NAV	91.1	-119	18	7.65E+00	1.26	0.6
PARIS III	2-methylbutane	78-78-4	201-142-8	NAV	27.8	-159.9	-51	6.89E+01	0.65	0.21
PARIS III	2-methylbuta-1,3-diene	78-79-5	201-143-3	NAV	34	-145.9	-48	5.50E+01	0.68	0.21
PARIS III	2-methylbut-1-en-3-yne	78-80-8	201-144-9	NAV	32	-113	-12.73	6.74E+01	0.78	0.49
PARIS III	2-methylpropan-1-amine	78-81-9	201-145-4	NAV	68.5	-85	-9	1.38E+01	0.72	0.56
PARIS III	2-methylpropanenitrile	78-82-0	201-147-5	NAV	103.9	-71.5	8	3.27E+01	0.76	0.48
PARIS III	2-methylpropan-1-ol	78-83-1	201-148-0	NAV	107.8	-108	27.78	1.05E+01	0.8	3.37
PARIS III	2-methylpropanal	78-84-2	201-149-6	NAV	64.5	-65.9	-24	1.73E+01	0.79	0.41
PARIS III	2-methylprop-2-enal	78-85-3	201-150-1	NAV	68.4	-81	-15	1.55E+01	0.81	0.37
PARIS III	2-chloranylbutane	78-86-4	201-151-7	NAV	68	-140	-15	1.57E+01	0.87	0.39
PARIS III	1,2-bis(chloranyl)propane	78-87-5	201-152-2	NAV	95.5	-100	4.4	5.33E+01	1.12	0.39
PARIS III	2,3-bis(chloranyl)prop-1-ene	78-88-6	201-153-8	NAV	94	10	10	6.13E+01	1.17	0.54
PARIS III	2-chloranylpropan-1-ol	78-89-7	NAV	NAV	133.5	-67.99	55.49	4.31E+00	1.08	5.87
