Input	ID_Name_1	label	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Flash_Point_Minimum_°C	Autoignition_Temperature_Minimum_°C	Hansen_Delta_D_MPa1/2	Hansen_Delta_P_MPa1/2	Hansen_Delta_H_MPa1/2	Solubility_Water_g/L	Dielectric_Constant_20°C	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s	Evaporation_Speed_Butyl_Acetate=1	Relative_Vapour_Density_Minimum_Air=1	Log_P_Octanol_Water_20°C	Refractive_Index_20°C	Surface_Tension_25°C_mN/m	Specific_Heat_Capacity_20°C_kJ/kg.°C
DataType	string	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Randomisation Range	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV
PARIS III	Diethyl ether	5	60-29-7	200-467-2	NAV	34.6	-116.3	537.04	-45	160	14.5	2.9	4.6	69	4.197	0.73	0.22	37.50	2.55	0.82	1.352	16.65	2.3268141354
DNCP	Diisopropyl ether	5	108-20-3	204-881-4	NAV	68	-86.8	149.26	-29	405	15.1	3.2	3.2	9	3.9	0.7192	0.38	8.42	3.5	0.82	1.368	17.34	2.1464774951
PARIS III	2-methylpropan-1-amine	6	78-81-9	201-145-4	NAV	68.5	-85	138.01	-9	400	14.9	4.7	7.2	1000	4.4	0.72	0.56	7.3	2.5	0.73	1.397	21.75	2.2662
PARIS III	Butylamine, tert-	6	75-64-9	200-888-1	NAV	45	-72.65	37.28	-8	379	14.5	4.6	8.1	1000	5.4	0.7	0.67	7.3	2.5	0.4	1.379	16.87	2.2662
PARIS III	2-methylbutan-1-amine	6	96-15-1	202-483-5	NAV	92.39	-105.09	35.70	3.3	400	15.1	3.2	3.2	1000	4.5	0.74	0.68	7.3	3	1.41	1.4116	22.83	2.2662
PARIS III	5-methylheptan-3-one	2	541-85-5	NAV	NAV	159	-56.39	1.94	43.9	411	15.7	4.5	4	3	11.9	0.81	0.79	5	4.42	2.35	1.4209	24.99	2.1542223997
PARIS III	ethyl isopropyl ketone	2	565-69-5	NAV	NAV	113.5	-82.16	18.08	10.8	450	16	7.6	4.7	17	8.2	0.8	0.45	1.60	2.41	1.331	1.397	24.93	2.1398723157
Chemtec Solvent Database	Diisopropyl ketone	2	565-80-0	209-294-6	NAV	124	-69	13.43	22.1	478	15.7	5.7	4.3	5.7	17.1	0.805	0.626	1.60	3.95	1.86	1.4	25.36	2.1398723157
Mixed	styrene	1	100-42-5	202-851-5	NAV	145	-31	6.40	31.1	490	18.6	1	4.1	0.32	2.4	0.9	0.7	12.4	3.6	2.95	1.546	30.22	1.73
Mixed	benzyl alcohol	1	100-51-6	202-859-9	NAV	205.3	-15.2	0.09	97.5	435	18.4	6.3	13.7	40	13	1.05	5.13	0.01	3.7	1.06	1.539	38.58	2.015
Mixed	o-xylene	1	95-47-6	202-422-2	NAV	144.5	-25.2	6.61	28.88	465	17.8	1	3.1	0.2	2.568	0.87	0.76	0.70	3.7	3.12	1.503	29.76	1.7712375212
Mixed	benzaldehyde	1	100-52-7	202-860-4	NAV	179	-26	1.2676042443	62.8	190	19.4	7.4	5.3	6.95	17.8	1.05	1.32	0.5	3.65	1.5	1.544	38	1.79
Mixed	n-pentane	0	109-66-0	203-692-4	NAV	36	-129.7	51.3792252855	-49.4	260	14.5	0	0	0.041	1.8	0.63	0.22	12	2.5	3.39	1.358	15.49	2.4
Mixed	cyclohexane	0	110-82-7	203-806-2	601-017-00-1	81	6.5	9.6757957107	-18	260	16.8	0	0.2	0.052	2	0.7739	0.894	6.1	2.9	3.44	1.427	24.65	1.81
Mixed	hexanol, 1-	7	111-27-3	203-852-3	NAV	157.6	-44.6	0.9300764869	60	292	15.9	5.8	12.5	6	13.3	0.82	4.59	0.05	3.52	2.03	1.416	25.81	2.3618124878
